Meninggal Dunia Harian;Aceh;Bali;Banten;Babel;Bengkulu;DIY;Jakarta;Jambi;Jabar;Jateng;Jatim;Kalbar;Kaltim;Kalteng;Kalsel;Kaltara;Kep Riau;NTB;Sumsel;Sumbar;Sulut;Sumut;Sultra;Sulsel;Sulteng;Lampung;Riau;Malut;Maluku;Papbar;Papua;Sulbar;NTT;Gorontalo;?;Total
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;275;275
28 Sep;12;9;2;;;;9;;3;8;20;;2;1;4;;;1;2;2;;3;3;;;;4;;;2;;;;;;87
29 Sep;7;8;1;;;2;21;2;15;12;24;1;11;;2;;;;;6;2;2;2;3;;;4;;;3;;;;;;128
30 Sep;2;4;1;;;;13;;15;5;30;;19;2;2;;;1;6;11;1;4;;4;;3;8;;;1;6;;;1;;139
1 Oct;3;3;3;;2;2;6;;15;5;30;;20;;;;;2;3;3;;5;1;;1;;7;;;;5;;;;;116
2 Oct;5;6;3;1;1;4;3;3;15;17;18;;10;;4;;;2;3;5;1;2;;;1;3;6;;;;3;;;;;116
3 Oct;3;3;2;;;1;4;;15;5;20;;2;;2;;;2;;7;;2;;4;;;5;;;1;5;;;;;83
4 Oct;6;4;5;1;;1;13;;15;3;20;;3;1;1;1;;1;2;1;;4;1;3;;;6;;;;4;;;;;96
5 Oct;5;4;3;;;;16;;15;5;22;;9;;1;;3;;1;3;1;3;1;;1;;8;;;;;;;1;;102
6 Oct;4;6;4;;;;31;;16;8;23;;3;3;3;;;;5;3;;2;;;1;;6;;;;3;;;;;121
7 Oct;2;5;1;;;;15;;13;5;25;;4;1;1;;;;2;9;1;5;1;;1;2;2;;;3;;;;;;98
8 Oct;;7;5;;;1;17;;3;10;24;;11;1;5;;1;;3;4;;7;;2;1;;3;;;;1;;1;1;;108
9 Oct;2;4;;;1;2;21;2;2;10;20;;10;;1;;;2;3;4;1;2;1;2;;1;6;;;;;;;;;97
10 Oct;2;3;3;;;;16;;1;17;10;;6;2;1;;;1;1;5;;1;;2;;2;10;;1;1;3;;;;;88
11 Oct;1;1;3;;1;1;18;2;;8;21;;5;;1;;1;;;3;;6;1;1;;;5;;;;;;;;;79
12 Oct;1;3;2;;;1;25;;9;7;22;;2;;1;;;;4;;1;5;;2;3;;2;;;1;;;;;;91
13 Oct;3;8;3;;;1;19;;;8;21;;2;1;1;;;;3;3;;7;;4;1;;4;;;1;1;1;;;;92
